domain,attribute,definition,rating_1_anchor,rating_3_anchor,rating_5_anchor
technical,technical_first_touch,Controls the first contact so the next action remains functional in the current context.,Rarely establishes functional control with the first contact.,Regularly establishes functional control in typical situations.,Consistently establishes functional control across varied pressure and space.
technical,technical_passing,"Executes passes with appropriate direction, weight and timing for the intended action.",Rarely executes passes that support the intended action.,Regularly executes functional passes in common situations.,Consistently executes accurate and appropriately weighted passes under varied demands.
technical,technical_receiving_orientation,Receives with body orientation that supports awareness and the next action.,Rarely receives with an orientation that supports the next action.,Regularly receives with functional body orientation.,"Consistently adapts receiving orientation to pressure, space and next action."
technical,technical_ball_control,Maintains functional control of the ball while adapting to pressure and movement demands.,Rarely maintains functional control under ordinary demands.,Regularly maintains functional control in typical situations.,Consistently maintains and adapts control under varied demands.
technical,technical_dribbling,Uses ball carrying or dribbling actions effectively when the game context affords them.,Rarely uses dribbling actions effectively when opportunities arise.,Regularly uses functional dribbling actions in suitable situations.,Consistently selects and executes effective dribbling actions across varied situations.
tactical,tactical_positioning,"Adopts positions that support team structure, space use and the current phase of play.",Rarely occupies positions that support the current team task.,Regularly adopts functional positions in typical phases of play.,Consistently adapts positioning effectively to changing team and opponent contexts.
tactical,tactical_scanning,Checks relevant information before and during involvement in play.,Rarely scans relevant information before acting.,Regularly scans useful information in common situations.,Consistently scans and updates relevant information before and during actions.
tactical,tactical_decision_making,"Selects actions that fit available information, team intentions and current constraints.",Rarely selects actions that fit the available game information.,Regularly selects functional actions in common situations.,Consistently selects effective actions across varied and changing situations.
tactical,tactical_support,"Provides useful support options to teammates in relation to ball, space and pressure.",Rarely provides a useful support option.,Regularly provides functional support in common situations.,"Consistently adjusts support effectively to ball, pressure and teammate needs."
tactical,tactical_transition_response,Responds functionally when possession status changes.,Rarely reacts functionally to changes of possession.,Regularly responds appropriately in typical transition moments.,Consistently adapts quickly and effectively across varied transition situations.
physical_observation,physical_acceleration,Observable ability to increase movement speed when the football action requires it.,Rarely demonstrates effective acceleration when the context requires it.,Regularly demonstrates functional acceleration in typical situations.,Consistently demonstrates effective acceleration across varied football actions.
physical_observation,physical_change_of_direction,Observable ability to redirect movement efficiently in football-specific situations.,Rarely changes direction effectively in relevant situations.,Regularly changes direction functionally in common situations.,Consistently redirects movement effectively across varied football situations.
physical_observation,physical_repeat_effort,Observable ability to repeat purposeful football actions across the observation period.,Rarely sustains repeated purposeful efforts across the observed context.,Regularly repeats purposeful efforts through typical demands.,Consistently repeats purposeful efforts across varied and sustained demands.
behavioural_observation,behaviour_communication,Uses observable verbal or non-verbal communication that supports team actions.,Rarely communicates in ways that support team actions.,Regularly communicates functionally in common situations.,Consistently communicates clearly and usefully across varied situations.
behavioural_observation,behaviour_concentration,Maintains observable task focus and responds to relevant changes in the activity.,Rarely maintains task focus across the observed activity.,Regularly maintains functional focus in typical situations.,Consistently maintains and redirects focus effectively across changing situations.
behavioural_observation,behaviour_training_engagement,Shows observable involvement in practice tasks and attempts to execute the intended task.,Rarely shows sustained involvement in the intended practice task.,Regularly engages with the intended practice task.,Consistently engages purposefully across varied training tasks.
behavioural_observation,behaviour_response_to_feedback,Shows observable attempts to apply relevant coaching feedback within subsequent actions.,Rarely shows observable attempts to apply relevant feedback.,Regularly attempts to apply relevant feedback in subsequent actions.,Consistently integrates relevant feedback into subsequent actions across contexts.
